process_type,material,target,model,feature,importance_value,method,importance_rank
milling,AlSiC,depth_um,RSM,frequency_kHz,45.065640611277814,RSM_abs_coefficient,1
milling,AlSiC,depth_um,RSM,D_proxy,28.31390820698409,RSM_abs_coefficient,2
milling,AlSiC,depth_um,RSM,pulse_density_proxy,28.31390820698388,RSM_abs_coefficient,3
milling,AlSiC,depth_um,RSM,pulse_width_ps,23.172221905827353,RSM_abs_coefficient,4
milling,AlSiC,depth_um,RSM,hatch_spacing_um,23.014590318016953,RSM_abs_coefficient,5
milling,AlSiC,depth_um,RSM,log_pulse_width,20.17610725636758,RSM_abs_coefficient,6
milling,AlSiC,depth_um,RSM,log_frequency,19.540944983317516,RSM_abs_coefficient,7
milling,AlSiC,depth_um,RSM,log_passes,18.692850848084216,RSM_abs_coefficient,8
milling,AlSiC,depth_um,RSM,pulse_spacing_um,16.910968253415923,RSM_abs_coefficient,9
milling,AlSiC,depth_um,RSM,log_hatch_spacing,16.06160290451753,RSM_abs_coefficient,10
milling,AlSiC,depth_um,RSM,log_scan_speed,15.775707945519525,RSM_abs_coefficient,11
milling,AlSiC,depth_um,RSM,passes,15.04066518675501,RSM_abs_coefficient,12
milling,AlSiC,depth_um,RSM,scan_speed_mm_s,10.656492512189702,RSM_abs_coefficient,13
milling,AlSiC,Sa_um,RSM,pulse_width_ps,7.596539090790613,RSM_abs_coefficient,1
milling,AlSiC,Sa_um,RSM,log_passes,6.680356104411912,RSM_abs_coefficient,2
milling,AlSiC,Sa_um,RSM,log_scan_speed,5.275482748509246,RSM_abs_coefficient,3
milling,AlSiC,Sa_um,RSM,log_hatch_spacing,4.8833317379693195,RSM_abs_coefficient,4
milling,AlSiC,Sa_um,RSM,log_pulse_width,4.71769546362862,RSM_abs_coefficient,5
milling,AlSiC,Sa_um,RSM,hatch_spacing_um,4.58119215228518,RSM_abs_coefficient,6
milling,AlSiC,Sa_um,RSM,scan_speed_mm_s,4.507995169264015,RSM_abs_coefficient,7
milling,AlSiC,Sa_um,RSM,passes,4.25161792924478,RSM_abs_coefficient,8
milling,AlSiC,Sa_um,RSM,log_frequency,3.555961455600109,RSM_abs_coefficient,9
milling,AlSiC,Sa_um,RSM,pulse_density_proxy,3.375198130605879,RSM_abs_coefficient,10
milling,AlSiC,Sa_um,RSM,D_proxy,3.3751981306058516,RSM_abs_coefficient,11
milling,AlSiC,Sa_um,RSM,frequency_kHz,3.1448420466388756,RSM_abs_coefficient,12
milling,AlSiC,Sa_um,RSM,pulse_spacing_um,2.8459402701863716,RSM_abs_coefficient,13
milling,CFRP,depth_um,RSM,log_frequency,22.088103132773572,RSM_abs_coefficient,1
milling,CFRP,depth_um,RSM,log_scan_speed,15.687701143881094,RSM_abs_coefficient,2
milling,CFRP,depth_um,RSM,frequency_kHz,15.520230309659945,RSM_abs_coefficient,3
milling,CFRP,depth_um,RSM,passes,15.413556915896155,RSM_abs_coefficient,4
milling,CFRP,depth_um,RSM,log_passes,14.783084551055762,RSM_abs_coefficient,5
milling,CFRP,depth_um,RSM,pulse_spacing_um,14.609973567672595,RSM_abs_coefficient,6
milling,CFRP,depth_um,RSM,scan_speed_mm_s,14.56225217576831,RSM_abs_coefficient,7
milling,CFRP,depth_um,RSM,pulse_width_ps,13.99682720725523,RSM_abs_coefficient,8
milling,CFRP,depth_um,RSM,log_pulse_width,12.586244763005748,RSM_abs_coefficient,9
milling,CFRP,depth_um,RSM,log_hatch_spacing,11.756857014635193,RSM_abs_coefficient,10
milling,CFRP,depth_um,RSM,D_proxy,9.862047850165578,RSM_abs_coefficient,11
milling,CFRP,depth_um,RSM,pulse_density_proxy,9.862047850164588,RSM_abs_coefficient,12
milling,CFRP,depth_um,RSM,hatch_spacing_um,9.25083929446753,RSM_abs_coefficient,13
milling,CFRP,Sa_um,RSM,scan_speed_mm_s,1.7328593744695242,RSM_abs_coefficient,1
milling,CFRP,Sa_um,RSM,log_frequency,1.596393578536573,RSM_abs_coefficient,2
milling,CFRP,Sa_um,RSM,log_pulse_width,1.5435361243166634,RSM_abs_coefficient,3
