material,target,model,feature,feature_value,prediction
AlSiC,depth_um,RSM,D_proxy,0.001,7.97882592947653
AlSiC,depth_um,RSM,D_proxy,0.01820689655172414,10.166578246851998
AlSiC,depth_um,RSM,D_proxy,0.03541379310344828,12.194347805121254
AlSiC,depth_um,RSM,D_proxy,0.052620689655172415,14.0621346042843
AlSiC,depth_um,RSM,D_proxy,0.06982758620689655,15.769938644341135
AlSiC,depth_um,RSM,D_proxy,0.08703448275862069,17.317759925291757
AlSiC,depth_um,RSM,D_proxy,0.10424137931034483,18.705598447136172
AlSiC,depth_um,RSM,D_proxy,0.12144827586206897,19.933454209874373
AlSiC,depth_um,RSM,D_proxy,0.1386551724137931,21.001327213506364
AlSiC,depth_um,RSM,D_proxy,0.15586206896551724,21.909217458032145
AlSiC,depth_um,RSM,D_proxy,0.17306896551724138,22.657124943451716
AlSiC,depth_um,RSM,D_proxy,0.19027586206896552,23.245049669765077
AlSiC,depth_um,RSM,D_proxy,0.20748275862068966,23.672991636972224
AlSiC,depth_um,RSM,D_proxy,0.2246896551724138,23.94095084507316
AlSiC,depth_um,RSM,D_proxy,0.24189655172413793,24.048927294067887
AlSiC,depth_um,RSM,D_proxy,0.25910344827586207,23.9969209839564
AlSiC,depth_um,RSM,D_proxy,0.2763103448275862,23.784931914738703
AlSiC,depth_um,RSM,D_proxy,0.29351724137931035,23.41296008641479
AlSiC,depth_um,RSM,D_proxy,0.3107241379310345,22.881005498984678
AlSiC,depth_um,RSM,D_proxy,0.3279310344827586,22.189068152448343
AlSiC,depth_um,RSM,D_proxy,0.34513793103448276,21.3371480468058
AlSiC,depth_um,RSM,D_proxy,0.3623448275862069,20.325245182057053
AlSiC,depth_um,RSM,D_proxy,0.37955172413793103,19.15335955820209
AlSiC,depth_um,RSM,D_proxy,0.3967586206896552,17.82149117524092
AlSiC,depth_um,RSM,D_proxy,0.4139655172413793,16.329640033173536
AlSiC,depth_um,RSM,D_proxy,0.43117241379310345,14.677806131999947
AlSiC,depth_um,RSM,D_proxy,0.4483793103448276,12.865989471720138
AlSiC,depth_um,RSM,D_proxy,0.4655862068965517,10.894190052334118
AlSiC,depth_um,RSM,D_proxy,0.48279310344827586,8.762407873841891
AlSiC,depth_um,RSM,D_proxy,0.5,6.470642936243463
AlSiC,depth_um,RSM,scan_speed_mm_s,100.0,11.770387523945718
AlSiC,depth_um,RSM,scan_speed_mm_s,103.44827586206897,11.956287407270764
AlSiC,depth_um,RSM,scan_speed_mm_s,106.89655172413794,12.124224344853275
AlSiC,depth_um,RSM,scan_speed_mm_s,110.34482758620689,12.27419833669325
